,Tweets,Subjectivity,Polarity,Sentiment
28, barbarian players when they multiclass bard,0.95,-0.7,Negative
29,"New Music Alert! Check out the new single from  now added to A, E, M, and U playlists!",0.37445887445887444,0.0725108225108225,Positive
30,Jackson Wang - LMLY (Official Music Video)  via  JacksonWang  JACKSON,0.0,0.0,Neutral
31, Income Verification Mortgage Loan for Colorado and No Doc Home Loans are here and ready for 2022 and Beyond. If you are Self Employed; 1099;  or have non- traditional income and income has been an issue in getting a home loan- then this loan is fo,0.625,0.1,Positive
32, I haven't seen this band play lately but they completely trash the place! 🤣,0.5,-0.0875,Negative
33,_ippo IFBB Women’s Bodybuilding Sheena Ohlig ,0.0,0.0,Neutral
34," first step is to fill out the appeal form 📝 here's how ➡️  once the review team takes a look, you'll get an email outlining their decision, so keep an eye on your inbox!!",0.3333333333333333,0.390625,Positive
35,"Y'all HAVE to Check this stream out!  Bx DESTROYED lil pu$$y biatch Apoc 🤣 👏 🤣 👏 And like the lil biatch he is, HE RAN 😆 ",0.0,0.0,Neutral
36,Uploaded a video with details on the Ahegao Plate Carriers coming soon. ahegao tbpatches cumouflage ahegaoclothes ,0.0,0.0,Neutral
37,Sunkenland (Waterworld Inspired Survival Video Game) - Sunken City Test  survival survivalgame pcgaming sunkenland indiegame indiegamedev indiegames unity3d madewithunity screenshotsaturday gamedevelopment gamedev youtubegaming,0.4,-0.4,Negative
38,"Visit us at MySittiVacations, and we will gladly assist you in arranging your upcoming trip. Flights, hotels, rental vehicles, and even tours and excursions are all bookable with MySittiVacations. ",1.0,0.5,Positive
39,So much cheese I'm the government,0.2,0.2,Positive
40,LIVE!!!,0.5,0.26633522727272724,Positive
41,      It baffles me that people need to be told this. ☹,0.0,0.0,Neutral
42,"Lillias White w/ Cy Coleman on piano, The Oldest Profession  via ",0.0,0.0,Neutral
43,  Idk.. It sound far from an apology😭 btw... Muting the conversation for my mental health's sake. Here is a viedio which analyses all of their racist stuffs and so called apologies.. Iam not gonna listen to any army on this topic,0.5333333333333333,0.13333333333333333,Positive
44,"""I know I've been changed"" St. James Missionary Baptist Church of Canton  music gospel spiritual",0.13333333333333333,0.0,Neutral
45,857k left for 15M Keep streaming ChandNarazHai MohsinKhan MoMinions,0.0,0.0,Neutral
46,  They're a Barry Morgan cover band. 😎,0.0,0.0,Neutral
47, RENDITION OF STALINGRAD VERY MOVING,0.3,0.2,Positive
48,I almost have them all... Not a jokeSynth Company TIER LIST 2022 - GOTTA RANK EM' ALL 😂 ,0.9,-0.8,Negative
49,Italian island of Sardinia infested with locusts | Focus on Europe  via ,0.0,0.0,Neutral
50,Now on air :  Arianna Grande - 34+35  Hitmusic  NewMusicFriday music soundcloud  newmusic newmusicfriday spotify    ,0.0,0.0,Neutral
51,We take you inside each SNEAKERS performance's backstage area! More video content for Midzy to watch when you're idle and bored; it reveals a different side to us when we're not performing live as well as the joy we experience while promoting this song.|  ,0.56,0.18727272727272729,Positive
52,ID-Xplore Overview 2022  via ,0.0,0.0,Neutral
53, Suicide Solution! (Life-long Ozzy and Bon fan here) ,0.0,0.0,Neutral
54,"but not youtube again,,,, why do they have to use that shexkabdm whatever thats call",0.0,0.0,Neutral
55,Real Racing 3 Chevrolet C8 Z06 Championship Required PR &amp; Upgrades👉👉 ,0.30000000000000004,0.2,Positive
56,Save Me  via ,0.0,0.0,Neutral
57,"  It’s all about them TELLING others, Controlling others.",0.0,0.0,Neutral
58, Sun pagi!Here’s come the sun!,0.0,0.0,Neutral
59,"I’m a canoe builder and just got a hand addressed letter — a pitch to invest in this. Sorry brah, I no more money. Try ⁦⁩ or ⁦⁩ 😅 ",0.75,-0.375,Negative
60,"Dusty Springfield and Martha Reeves with the Vandellas ""Wishin' and Hopi...  a través de ",0.6,-0.4,Negative
61, IF YOU LISTEN TO ME IN 1945 WE WOULD NOT HERE SHITTY DIPLOMACY AMONG TERORISTS TO HAVE NUCLEAR WEAPONS AND THREATENED THE WORLD WE NEED TO KNEEL HER RUSSIAN BITCHES SO WHICH UNDERSTAND THAT THE FREE WORLD WILL NOT CAPITULATE VAINCRONS CAR LE MONDE LE VEUX,0.4,0.2,Positive
62,TheStoryOfLordShivaBum have the disgracefull meaning in the dictionary then how this Bum Bum Bhole is regarded as Mantra of Shiva. Visit us- Satlok Ashram YouTube ChannelKabir is Supreme God ,0.0,0.0,Neutral
63, You have to be staying alive! 😘💃🕺🍀 That’s really shit. 🤣Take this: do what ever you want! It’s a nice dream! Isn’t it? 😊🤭🤣🤣🤣,0.7333333333333334,0.20833333333333334,Positive
64,"There was this YouTube video titled ""anime with no bad episodes"" and Death note came up and i just dropped my head on the table like dawg THERE'S A WHOLE ASS BAD ARC NOT JUST AN EPISODE",0.5777777777777778,-0.04999999999999997,Negative
65,_ Truth chapel. 11:00 a.m every Sunday. On Facebook &amp; YouTube . Pastor Chavis!,0.0,0.0,Neutral
66,Wow! I just saw it on YouTube and it has 2.6 million views in just 20 hours!? 🖇️ ,1.0,0.15625,Positive
67,🔥 Insight of the day:  Who shall separate us from God‘s love ❓❤️💯 ￼Spiritual Jesus God motivation thefirelady thefirelady Godslove     ,0.6,0.5,Positive
68," It's like the scene in ""The Time Machine"" (1960) where George Wells sees the ""Last Man"" nihilists having zero will to save a drowning woman in a river.",0.06666666666666667,0.0,Neutral
69,The latest StarWars news. We call it SalaciousCrumbs. Here's number 157:,0.9,0.5,Positive
70, GodMorningMonday God is the ocean of happiness. Then who is to hurt us? Read priceless book Gyan Ganga and learn many deep secrets. For More Information Visit satlok Ashram Youtube channel.  ,0.52,0.54,Positive
71,"You're Overthinking⁠The London Remix, written and performed by GOLD⁠ newmusic ⁠alternative jazz drake hiphop music singer coldplay indie producer concert band live instamusic singersongwriter rap ",0.25,0.06818181818181818,Positive
72,"Anyone else have this ditty stuck in their noggins? Popped into my head while mowing the lawn this morning, for some unknown reason.  ",0.6,-0.1,Negative
73,This Woman Votes  via ,0.0,0.0,Neutral
74,Removing The Roof From Our Homesteaders Cabin Deep In The Canadian Wilde...  via ,0.4,0.0,Neutral
75,_2023 He he he. Must be this Climate Change Possible issue or f...ng Trump. I am told he is everywhere. What do I know. ,1.0,0.0,Neutral
76, @_GANGREEN_ YouTube doug Polk poker hands… watch soem basic stuff on YouTube … once you get the basics run it once training site or upswing training site ….,0.125,0.0,Neutral
77,Listen to her voice break she’s lying ,0.0,0.0,Neutral
78,_hongo_ IFBB Women’s Bodybuilding Sheena Ohlig ,0.0,0.0,Neutral
79, a Community Guidelines strike can be resolved through a successful appeal. here’s an article for more info ➡ ,0.725,0.625,Positive
80, Here's mine :),1.0,0.5,Positive
81,i miss negativity on youtube,0.0,0.0,Neutral
82,@_haydenblake Literally you can’t leave the community can you. Kindly just shut the fuck up Blake Miss *im not wasting my life anymore on YouTube* proceeds to become a titty steamer on twitch playing valorant all day lol 😂,0.7333333333333334,0.3333333333333333,Positive
83,ASTRO Switch On Album Part 1.1 | Review &amp; Reaction **after midnight lyrics  via ,0.0,0.0,Neutral
84,I cannot tell you how much I love these voices. AnnenMayKantereit x Giant RooksWowowowow,0.8,0.25,Positive
85,Go West - King Of Wishful Thinking (Official Music Video)  via ,0.0,0.0,Neutral
86,FINAL Part of my 2nd Youtube seriesIm goated but............i may be biased 😗Pros get handled in this one Twitch Halo Sunday Funday ,0.5,0.0,Neutral
87,"[🎥] 220725 | The Game Caterers YouTube Update📝: 🧳EP.2-1 | HYBE artists' talents. Japchae... Part 2 of ""Partner Run"" that doesn't give up! | 🧳 The Game Caterers 2 x HYBE🔗  ",0.4,-0.45,Negative
88,A R S O N JHOPE _twt ,0.0,0.0,Neutral
89,Familie_Floz.mp4  via ,0.0,0.0,Neutral
90, You have one of the best shows on YouTube but I think you should do a show on the transatlantic accent that is the accent that is commonly was used in early Hollywood like Catherine Hepburn and Cary Grant Etc,0.3666666666666667,0.26666666666666666,Positive
91,..just you wait and see..,0.0,0.0,Neutral
92,Michael Jackson - You Rock My World (Official Video)  via ,0.0,0.0,Neutral
93,"Park Byungeun and Jo Insung in Unexpected Business. Their convo is always hilarious, btw.So happy that Byungeun has Jo Insung to discuss a lot about Kang Yoongyeom's character and Insung was willing to help ♥️",0.9375,0.4125,Positive
94," Keb Mo (and all the ""Playing for Change"" artists)",0.0,0.0,Neutral
95,"_CapJackie Warner &gt; More Johnny Depp Betrayal    is NOT FOR SALE &gt; your email contact to him Published. Neither are Women Survivors Of Abuse that support TRUTH MenToo For sale!Honour, Integrity IS NOT for saleBoyCottWarnerBrothers",0.5,0.5,Positive
96,"Brands NEED to start producing more and more content, I’m talking Q&amp;A’s, AMA’s, Vlogs, podcasts, interviews, YouTube You can scale your business by posting consistently to social media platforms, get viral in order to get massive traffic you don’t have to spend thousands on ads",0.5166666666666666,0.25833333333333336,Positive
97,How to Build Trust at Work: Trust-Building Questions  via ,0.0,0.0,Neutral
98,"If you haven't discovered 43yo actor, singer, director, &amp; producer Van Ness Wu, you're missing out. His latest rock jam ""Take a Ride"" is hot and the MV is even hotter. In fact, all of his music from 2022 so far has been fire. vannesswu 吳建豪 ",0.7000000000000001,0.1625,Positive
99,"  _haaq  PIA never said anything disrespectful about Amhara. Please watch the full interview, he didn’t say that. Just counterfeit video sponsored by TPLF.   YouTube link pls.",0.55,0.35,Positive
100,"   _wa Pence had to call Gen Milley to get the military to quell the violence cause POTUS did nothing. Listen to MIN 9:30-12-30 to get a sense of what happened,and finally min 15:45-17:05 where Trump says to Republican House Leader McCarthy that it was Antifa ",0.55,-0.05,Negative
101,ONE OF MY FAVORITE YOUTUBERS OF ALL TIME FINALLY PLAYED TF2 FOR A VIDEOplease go watch him :],1.0,0.3333333333333333,Positive
102,"Jonathan Winters was a mentor to Robin Williams. He was a master improv. If you haven’t seen this, it’s one of the greatest bits ever ",1.0,1.0,Positive
103, lol i made the pose with the sticker on it for my old youtube camp lmao,0.6333333333333333,0.5,Positive
104,"  Isn't the Epoch owned by a far right Chinese, religious zealot?The Epoch Media Group's news sites and YouTube channels have spread conspiracy theories such as QAnon and anti-vaccine misinformation,[35] and false claims of fraud in the 2020 United States presidential election.",0.48095238095238096,-0.0023809523809524002,Negative
105,"Sorry to hear of the passing of American film director Bob Rafelson at age 89. Apart from directing such key early 70s films as FIVE EASY PIECES &amp; THE KING OF MARVIN GARDENS, he made one of the biggest trips of the 60s, HEAD w/ The Monkees. RIPBobRafelson ",0.6055555555555555,0.005555555555555554,Positive
106,Man what a great song 🎶 it resonates with my spirit . ,0.75,0.8,Positive
107,Here are the links to the MV and song on Spotify in case someone is interested 😊,0.5,0.25,Positive
108,"Watch ""Experimental drug cured cancer in US trial | 18 rectal cancer patients cured | WION"" on YouTube ",0.4,0.1,Positive
109,   One by one they will go down,0.2888888888888889,-0.15555555555555559,Negative
110," On this day in 2010, at Ring of Honor Wrestling's Salvation, ""Mr. Wrestling"" Kevin Steen challenges Tyler Black for the ROH World Championship",0.43333333333333335,-0.16666666666666666,Negative
111, Ants lift rocks easy and are unable to carry their babies shorts  via ,0.6666666666666667,-0.033333333333333326,Negative
112,Edge of Fear - Trailer  via ,0.0,0.0,Neutral
113,HE HITSPARKS AND THE MOVES ARE ALL THERETHIS FINA BE FIRE,0.0,0.0,Neutral
114,PARADISE HIGHWAY Trailer (2022)  via ,0.0,0.0,Neutral
115,"I am  kind of convinced that the procrastination time isn't just delaying a project, it's maybe something like background processing that makes the intense last minutes sprints possible. It seems Tim Urban has a different view. ",0.5944444444444444,0.13333333333333333,Positive
116,"A brand spankin’ new music video is coming at you this week! 🎉📹 So to celebrate, here is a behind the scenes look at my most recent music video for ‘Maybe I’m Still Drunk’! ",0.5809090909090908,-0.07090909090909092,Negative
117,F is for Whiskey  via  Live gamers FYP,0.5,0.13636363636363635,Positive
118, You gonna release updated YouTube video,0.0,0.0,Neutral
119, Aw noa 14 year old trying tell somebody whos older to shut whats next call me something dumb im mean heck your comebacks suck more than loosing your youtube account which i forgot mention i hope you loose yours.,0.3557234432234432,0.0003205128205128194,Positive
120,Lauren Spencer-Smith - Flowers  via ,0.0,0.0,Neutral
121,"    He can never hide from this.  No ""misinterpretation"", nothing ""out of context"", not mudslinging.",0.0,0.0,Neutral
122,Congressman &amp; Sheriff Call Out ATF For Door To Door Registry Checks  via ,0.0,0.0,Neutral
123,like comment who's active lmao i just reposted this on yt ,0.8,0.23333333333333334,Positive
124,"Well, This DIDN’T AGE WELL for Joe Biden  via ",0.0,0.0,Neutral
125,Who Makes Best Barbecue in Texas? Guest: Austin Meade + Blind Whiskey  via ,0.4833333333333333,0.25,Positive
126,source: ,0.0,0.0,Neutral
127, Aaaand last one for now (this is an older one) ,0.19999999999999998,0.08333333333333333,Positive
128,💜 ☁️💜 You're ruling the way that I moveAnd I breathe your airYou only can rescue meThis is my prayer … You show me how deep love can beThis is my prayerI cherish the day love Sade music ,0.65,0.25,Positive
129,When Drugs Keep You From The Truth!!🇺🇸shorts  via ,0.0,0.0,Neutral
130,I've deleted the videos of the performances from the ice due to the rules against reposting which I was not aware of before posting. I don't want to risk getting this account s*spended or anything. Most videos can be found on YouTube (links can be found in my thread for the ice),0.375,0.08333333333333333,Positive
131,@_AquaFan7_ if you wanna watch heheh separate streams are in the desc too if you wanna hear or just watch those. if you wanna i mean. im not forcing you. but like im not NOT forcing you,0.6875,-0.3125,Negative
132,Indigenizing music curriculum? Walking buffalo @ Samson 2k19  via ,0.0,0.0,Neutral
133, IFBB Women’s Bodybuilding Sheena Ohlig ,0.0,0.0,Neutral
134,Happy wonderful Good Mewning brightest most adorable sunshine 💛💛💛💛💛 by MewSuppasit ForeverLove_MewSuppasit  มิวศุภศิษฏ์ ,0.82,0.7,Positive
135,"You've been telling lies so longSome believe they're trueSo they close their eyes to thingsYou have no right to doDon't Step on the Grass, Sam - Gov't Mule  via ",0.5357142857142857,-0.14285714285714285,Negative
136,The BEST NISSAN GTR Godzilla Engine SOUNDS Ever!!  より,0.3,1.0,Positive
137,WATCH LIVE: Defense Secretary Austin and Gen. Milley hold news briefing ...  via ,0.5,0.13636363636363635,Positive
138,"I'm skipping movie night b/c I'm done with Westworld 4 (not over, just done, it's all Tessa and I can't stand her) so now doing a YT dive. First vid up proves that MtG 🃏 is completely dead ",0.24444444444444446,0.11666666666666668,Positive
139,We Watch the Roast of the Nerd!  via ,0.0,0.0,Neutral
140, Thank you very much for your kindness!!I will check your YouTube channel too:),0.63,0.38,Positive
141," Warner &gt; More Johnny Depp Betrayal    is NOT FOR SALE &gt; your email contact to him Published. Neither are Women Survivors Of Abuse that support TRUTH MenToo For sale!Honour, Integrity IS NOT for saleBoyCottWarnerBrothers",0.5,0.5,Positive
142,Dj Full Bass Hot bass  via ,0.6000000000000001,0.07499999999999998,Positive
143,Tomorrow The Video Will Premiere At 8:00 AM!! Go like it and subscribe to my YouTube channel before the video Premieres Tomorrow!!  ,0.0,0.0,Neutral
144,i can’t watch the family feud episode but i want too. hope it’s posted to youtube later. 🫶🏾,0.0,0.0,Neutral
145,"_  Marvel, I got something to say to you...",0.0,0.0,Neutral
146,can they upload irene's show's episodes on youtube too 😕,0.0,0.0,Neutral
147,"Muse telling it how it is, fucking loving it.  WIllofthepeople",0.95,0.6,Positive
148,"So many alternative coins, so many pumps and dumps...but this...this is your retirement token 👇🏼 Watch the video, listen... follow the salen!!🚀🚀",0.5,0.5,Positive
149,"Watch ""Bone Thugs-n-Harmony - Tha Crossroads"" on YouTube ",0.0,0.0,Neutral
150,"Zeta Gundam, as told by Pingu. Kicking Haman away in that cup was hilarious.Gundam ガンダム",0.0,0.0,Neutral
151,  Chris... no one steals stuff in an airport.Modern airports have actually nightmarish surveillance. Everything from facial recognition software to walking gait detectors. Your tweet pretty much confirms you haven't been to a major airport in years.,0.36,0.1025,Positive
152,Just a reminder that I make music videos and will be making many more in the future,0.375,0.3333333333333333,Positive
153,     Go for it.  One more shot!  It is gonna be alright.,0.5,0.625,Positive
154,housemusic🕺🏽One of the best opening sets I've encountered by _dj at Music On Festival. Good grooves all the way through. ,0.45000000000000007,0.85,Positive
155,Martial Law or General Elections? آج_سازش_نہیں_چلے_گی,0.25,0.02500000000000001,Positive
156,Check out my broadcast from my PlayStation 4! PS4live (Apex Legends)  live at ,0.5,0.13636363636363635,Positive
157,      Hi I’m new to YouTube ,0.45454545454545453,0.13636363636363635,Positive
158,MISSING! &amp; Presumed Murdered - Jennifer and Adrianna Wix - Tennessee 2004  via  Live with  Investigates 💥 JenniferandAdriannaWix Tenessee GHI TheFreakFam ♥️🫶🏼 MaryLou 🥰💋Facts EthicalTrueCrimeChannel,0.275,-0.05681818181818182,Negative
159, The Neo-Soul trend borrowed heavily from Jazz. ,0.5,-0.2,Negative
160," There were so many wild, classic 90s racism melees on daytime tv. Geraldo's nose getting broke obviously up there near the top but that's just one of so many crazy examples. (time stamped to where it starts to get physical) ",0.4455026455026455,0.14074074074074072,Positive
161,Why didn’t you tell me Ep. 147 of YDT was all hacked up?! Please stand by for us to clean up this mess.  In the meantime… ,0.4375,0.09583333333333335,Positive
162,"They gone monetize my YouTube , it’s up.",0.0,0.0,Neutral
163, _spicer  This looks like a YouTube parody of a movie lmao Marvel fell off hardddd,1.0,0.6,Positive
164," Yeah, wouldn't you?",0.0,0.0,Neutral
165,So Wassup? FULL HD:  ,0.55,0.35,Positive
166,Come and check out this video once again i get uncomfortable ,1.0,-0.5,Negative
167, _shitpost Did I do good?BODY BAG 2 by cowbla Feat. PenguWenguListen to it on YouTube:,0.0,0.0,Neutral
168,_contagious   _TXZEAL       _snively   @_mzishi_              __J  @_s3mp     _abp           After I barfed I turned twit off till just now. My eyes can only take so much. ,0.6,0.1,Positive
169,Weight reduction is without question trouble free whilst depend on my the foregoing decent line of attack that induces ones body to correct well being ,0.5555555555555555,0.12222222222222223,Positive
170, GodMorningMondaySant Rampal Ji Maharaj motivates us to leave all ill habits like smoking and alcohol as they make our life pathetic. Visit Saint Rampal Ji Maharaj YouTube Channel ,1.0,-0.75,Negative
171,McCullough: If You Freak Out Daily → You’re Doing This Wrong ,0.45,-0.25,Negative
172,John Wu | Institutions Want Crypto BAD | Full Interview ,0.6083333333333334,-0.17499999999999993,Negative
173,  _x   How about the BBC?,0.0,0.0,Neutral
174,Youtube premium acct.• solo account 40PHP — 1 month80PHP — 3 months120PHP — 4 months• family head acct60PHP — 1 month* upto 5 memebers— open till 12 am— dm for orders🌸,0.5,0.0,Neutral
175, I have the Superbox... check youtube about it... it works great... you can buy it thru offer up,0.75,0.8,Positive
176,Caution for Crypto? | Engineering the Trade ,0.0,0.0,Neutral
177,Edgey Plays World Heroes 2: J. Carn  via ,0.0,0.0,Neutral
178,MTA / FIVEM /BR ANT RP  via ,0.0,0.0,Neutral
179,"You're a white supremacist! An antisemite! A transphobe. You're a stooge of devils, and probably on their payroll... ahem... cough.... You were warned! Now you're banned... How corporate media controls communication and attacks livelihoods. Good interview. ",0.20000000000000004,0.2333333333333333,Positive
180,John Wu | Institutions Want Crypto BAD | Full Interview ,0.6083333333333334,-0.17499999999999993,Negative
181,McCullough: If You Freak Out Daily → You’re Doing This Wrong ,0.45,-0.25,Negative
182,aihcollective ☀️ Art Inspired Healing is… visual art  ,0.0,0.0,Neutral
183,I really like the sound of a French Harpsichord.,0.20000000000000004,0.20000000000000004,Positive
184,Caution for Crypto? | Engineering the Trade ,0.0,0.0,Neutral
185, lies spoken here....💯RIP Nupe 👌🙏,0.0,0.0,Neutral
186,"I fucking hate that Grandma that pranks people on YouTube and shit, so annoying like OMG old person says dirty thing, fuck off",0.7000000000000001,-0.44999999999999996,Negative
187,"""you dont got that dawg in you"" -  Fucking goat fr  ",0.8,-0.6,Negative
188," Warner &gt; More Johnny Depp Betrayal    is NOT FOR SALE &gt; your email contact to him Published. Neither are Women Survivors Of Abuse that support TRUTH MenToo For sale!Honour, Integrity IS NOT for saleBoyCottWarnerBrothers",0.5,0.5,Positive
189, you my love United Kingdom.for you United States of America.for you saint Vincent and the Grenadines.for you my lovely provincy blida 09.for me only the 5 for us.Pillow الوسادة.المخدةOreiller,0.7833333333333333,0.3333333333333333,Positive
190,Recap of Grambling State University at SWAC Media Day 2022🔥 ,0.0,0.0,Neutral
191,Samsung Galaxy Fold (Gen 1) ReviewWatch here:  ,0.0,0.0,Neutral
192,"WEEKLY VLOG : Target Haul, Costco, Amazon Haul + More | IAMYVETTERENEE'  via ",0.5,0.5,Positive
193,if ever on a intersteller joyride maybe try this one to get started,0.0,0.0,Neutral
194," _contagious _TXZEAL       _snively   @_mzishi_  _968             __J  @_s3mp     _abp           Just had 7 kittens. 4 typical all black short hair &amp; 1 long hair (our first) then another litter of 2 black short hair who are so tiny, both with blue eyes, who want to play with the bigger kittens.",0.38,-0.029999999999999992,Negative
195,Non-Copyright Music / Wolf Moon - Unicorn Heads / 292  via ,0.0,0.0,Neutral
196,"Dice bag! Made with some random yarn in my stash, as a double thread. Pattern:  DnDMovie crochet handmade Amigurumi yarn dice ",0.22499999999999998,-0.175,Negative
197,ULTIMATE Toasting Guide! How To Get More Toasts and Gold | Multiversus  via  MultiVersus,0.75,0.25,Positive
198, is this from,0.0,0.0,Neutral
199,"How to stop a Mass Shooter, Mr Dicken the hero who stopped a tragedy  via  This is a great video by the legend Mike, aka ",0.75,0.8,Positive
200,Karachi Rains Destroyed InfrastructureKarachiRain karachi KarachiRains PakistanKarachiSinks BilawalBhuttoZardari,0.0,0.0,Neutral
201,it's all about song choice 🎯Nancy did NOT like this Question....😂😂😂  via ,0.0,0.0,Neutral
202,"""Wherever I May Roam"" - AJ THE MACK - YouTube 400 views 👀🤘🏽 ",0.0,0.0,Neutral
203,Bossaleana - Rest Your Toes Ft. Jr. Boss (Official Video)  via ,0.0,0.0,Neutral
204,We Want The Truth!  via ,0.0,0.0,Neutral
205, is a DIY version from 'Great Scott' from youtube.  One of my favorite youtubers.The idea of putting so much weight on a single pivoting point in a design seems like a disaster waiting to happen.,0.5410714285714285,0.35714285714285715,Positive
206,Next lol👸💜🦁TomBradyCeasarBourgiaPotusFlotus,0.0,0.0,Neutral
207,A Former Executive's Advice To Beginning Screenwriters - Kelly Edwards  see more ,0.25,0.25,Positive
208,            These places are fancy!! Thank You.  Did you see Philly style mag’s top cheesesteak list?  Linen napkin places.,0.5,0.5,Positive
209,40% more energy than fixed panels?  I would like to know how it stacks up against other panels that move to face the sun.That technique can and has been done with standard panels. even site the same value 'increased performance by 40%' ,0.24,0.095,Positive
210, Ed Memphis,0.0,0.0,Neutral
211,Sue Ellam interviews Clare Watkinson about her very diverse career path and personal growth soulecting interview  ,0.3,0.1,Positive
212, WHY THE FUCK WHEN I REMOVE THE H FROM WATCH ON A YOUTUBE LINK IT SHOWS A FUCKING 666666666666 VIDEO WHAT THE FUCK WHAT THE F U C K ? ? ? ?,0.6666666666666666,-0.4666666666666666,Negative
213,   Trump said it from the bully pulpit. The establishment hated Trump for exactly this. Have a look at this one... ,0.475,-0.325,Negative
214,Tri-State Area gas prices drop ,0.0,0.0,Neutral
215,"🚨 LIVE on YouTube in 15mins!!! 🚨The SEES Group hits the Beach! And as our heroes soak up the sun and catch some waves, the next Dark Hour looms over them all.What will we learn of the Kirijo group and their operations this time?!Find out NOW!!! 🔥",0.3,0.013316761363636354,Positive
216, mysta 2.0,0.0,0.0,Neutral
217, Youtube comment section is a weird placeFeelsWeirdMan ,1.0,-0.5,Negative
218,"Share with me? To share or not to share, that is the question.Watch the video: ~~~~~  PhillySwirlLIKE ▪️ SHARE ▪️ COMMENT ",0.0,0.0,Neutral
219, Save the trees ,0.0,0.0,Neutral
220,👍 on : BlastphamousHD bashes cops for donations ,0.0,0.0,Neutral
221,Lure Making Lipless Minnow - part 2  より,0.0,0.0,Neutral
222, HERE! YouTube 1 bulan 9k 🫣 ,0.0,0.0,Neutral
223,"Well, it may just be _mK2 's world and we're just living in it after that display on the back-to-back Berlins.But the job's not done,  🆚  NA is up NEXT for the Lower Finals!LIVE NOW:  ",0.0,0.0,Neutral
224,Trailer Reaction for Black Panther: Wakanda Forever! ,0.43333333333333335,-0.20833333333333331,Negative
225,I laughed way more than I should have at this.,0.35,0.6,Positive
226,"In 2491, Hobgoblin Team managed 363 paces passing in a single game. Check out  for more BloodBowl highlights",0.37142857142857144,0.009523809523809526,Positive
227,KYLE! KYLE! KYLE KYLE KYLE! (Don't watch high) - South Park  via ,0.5399999999999999,0.16,Positive
228,How To ,0.0,0.0,Neutral
